age,personnel_id,gender,race,marital_status,education,type_of_work,salary,distance_from_home,years_with_current_manager
53,0,0,0,0,0,0,69925,10,7
35,1,1,1,0,0,1,76187,8,9
40,2,0,2,1,1,0,94965,7,3
40,3,0,3,0,2,1,70882,13,5
43,4,0,2,0,3,1,89262,5,14
69,5,0,3,1,0,0,62398,4,3
53,6,0,0,1,2,0,82861,11,3
61,7,1,2,2,2,0,57383,12,3
68,8,0,2,1,2,1,47473,19,5
35,9,0,4,0,1,2,48956,9,3
58,10,0,1,0,1,3,86673,7,7
50,11,1,2,2,2,4,97131,10,4
42,12,0,1,2,1,1,69042,20,12
58,13,1,2,2,2,2,65424,18,4
56,14,1,2,0,0,1,79991,6,2
31,15,1,2,0,3,0,97475,7,10
43,16,0,2,0,1,3,34539,12,6
44,17,0,2,0,3,3,97332,5,10
57,18,0,2,1,2,0,41916,9,2
40,19,0,2,1,2,1,78532,13,3
53,20,0,1,1,0,0,96993,14,1
31,21,1,2,1,3,1,93281,6,4
35,22,0,2,0,1,3,70829,3,8
40,23,0,2,0,2,1,68738,5,6
22,24,0,2,0,1,1,90840,18,2
60,25,0,2,1,2,2,34988,12,7
53,26,1,0,2,0,0,94782,7,4
46,27,0,2,1,0,2,75748,17,12
44,28,0,2,2,0,1,94772,8,5
51,29,1,2,1,1,3,60179,9,3
49,30,0,2,1,2,2,97251,17,8
47,31,1,2,0,4,0,91677,7,9
55,32,1,1,2,1,0,76152,9,7
38,33,0,2,0,2,1,83107,17,3
40,34,0,2,1,1,1,96570,11,8
56,35,1,2,1,1,3,37092,3,6
34,36,0,2,0,0,0,72404,16,1
57,37,0,2,0,1,3,94621,9,4
61,38,1,2,0,0,2,98527,16,2
42,39,1,2,0,2,3,47760,16,3
41,40,1,2,1,2,1,94763,13,13
63,41,0,2,0,1,1,65448,8,2
32,42,0,2,0,2,1,69703,4,4
58,43,1,0,2,3,1,55159,2,8
41,44,0,2,2,3,5,107859,20,1
54,45,0,2,0,3,3,37641,6,1
52,46,0,2,2,1,1,73802,9,6
26,47,0,2,2,0,1,93134,3,3
35,48,0,2,1,3,0,22470,5,6
44,49,0,2,0,0,1,95995,10,10
32,50,0,5,0,2,2,88180,12,8
59,51,0,2,2,3,0,41696,13,7
53,52,0,2,2,1,3,51109,10,2
50,53,1,1,1,3,1,96610,18,3
26,54,0,1,0,1,0,79316,16,2
25,55,0,0,2,1,1,55208,14,8
32,56,0,2,1,1,1,102379,8,11
46,57,0,2,1,0,0,74341,12,5
52,58,1,2,0,0,1,63951,6,4
50,59,1,2,1,4,0,84052,12,8
52,60,0,1,1,2,1,68778,17,3
63,61,1,2,1,2,5,51339,27,4
39,62,0,2,1,0,1,69650,2,5
40,63,1,2,0,3,0,78112,19,11
35,64,0,2,1,1,3,62315,8,2
63,65,0,2,1,0,1,84197,14,6
61,66,0,2,0,2,3,85597,22,10
23,67,0,1,1,3,5,89762,14,6
46,68,0,3,1,0,1,96688,4,2
63,69,0,0,2,3,0,34722,10,3
51,70,0,2,1,2,2,42780,23,11
37,71,1,2,1,4,5,43947,6,4
26,72,0,2,2,1,1,67939,10,2
33,73,0,2,0,2,1,77008,16,7
54,74,0,2,2,0,1,32779,21,2
62,75,0,2,2,1,1,35570,7,8
34,76,0,1,0,2,0,102583,19,6
57,77,0,2,0,4,1,52038,5,6
55,78,0,2,2,2,3,52291,12,5
36,79,1,2,0,1,2,72065,21,5
42,80,1,2,2,2,0,91861,7,4
50,81,0,2,0,1,1,76061,6,4
30,82,1,2,0,1,4,50027,5,5
48,83,0,2,0,1,1,74520,23,3
62,84,0,0,1,1,3,32043,4,7
34,85,1,2,0,1,1,32371,8,7
54,86,0,1,2,4,0,38387,13,6
44,87,0,2,0,0,0,30317,5,2
50,88,1,2,0,1,0,86678,18,7
43,89,0,2,2,1,2,84658,3,1
35,90,0,2,0,1,0,83065,12,4
40,91,0,2,0,2,1,91632,21,14
30,92,0,2,0,1,1,81190,20,6
36,93,0,1,2,2,1,77195,8,6
47,94,0,2,2,3,1,99571,15,4
35,95,0,4,0,0,0,92843,6,3
37,96,0,2,0,3,3,89292,6,8
59,97,0,2,2,1,3,25090,17,6
43,98,0,2,1,2,1,69574,10,8
45,99,0,2,1,1,3,91238,12,3
34,100,0,1,0,2,0,88616,16,3
40,101,1,1,1,3,3,67496,16,2
45,102,0,2,2,1,1,49477,7,3
28,103,1,2,1,2,0,100547,3,9
62,104,0,2,0,1,1,47347,4,7
24,105,1,1,1,0,1,85695,8,3
28,106,1,0,2,0,1,76158,12,8
41,107,1,3,1,3,0,53692,5,6
39,108,1,2,0,3,1,46425,24,6
59,109,1,0,2,1,1,61017,18,9
52,110,1,2,0,1,1,47451,19,7
67,111,0,2,0,1,0,32626,26,8
72,112,1,0,0,0,4,98655,9,3
56,113,0,0,1,2,5,28672,16,4
51,114,0,2,2,2,1,70411,13,5
62,115,0,2,2,0,2,27287,11,8
61,116,0,2,2,1,3,65909,4,2
42,117,0,2,1,0,0,93629,15,2
41,118,0,2,0,1,3,112177,9,11
28,119,1,2,2,3,1,84604,12,8
27,120,1,2,2,1,1,78477,2,5
35,121,1,2,2,2,1,86343,8,6
68,122,1,2,2,1,1,113632,23,2
42,123,0,2,0,0,2,97608,20,4
31,124,0,2,1,1,0,76815,13,6
44,125,1,2,2,0,1,81211,16,2
